16-17/3/14																																																													
"time,"	position	"azimuths,"	zonal	"wind,"	meridional	"wind,"	reduced	"chisqr,"	"intensities,"	"temperatures,"	zonal	"distances,"	meridional	"distances,"	sig2noise																																														
	0	0	-96126.45	-96126.42	0	96126.45	96126.44	77950.05	-0.01	-77950.07	-146498.23	-197376.55	-224448.3	-224448.3	-197376.52	-146498.2	-77950.06	0	77950.07	146498.2	197376.56	224448.31	224448.3	197376.53	146498.22	120602.91	-0.02	-120602.95	-226659.42	-305377.44	-347262.34	-347262.34	-305377.38	-226659.38	-120602.92	0	120602.93	226659.38	305377.44	347262.38	347262.34	305377.41	226659.39	166451.52	-0.02	-166451.56	-312826.66	-421470.22	-479278.19	-479278.19	-421470.16	-312826.59	-166451.53	0.01	166451.55	312826.59	421470.25	479278.22	479278.19	421470.19	312826.62
	0	110997.24	55498.6	-55498.64	-110997.24	-55498.59	55498.62	214166.09	227910.78	214166.08	174589.78	113955.35	39576.32	-39576.36	-113955.43	-174589.81	-214166.09	-227910.78	-214166.08	-174589.8	-113955.34	-39576.25	39576.3	113955.39	174589.8	331353.91	352619.44	331353.88	270122.16	176309.66	61231.77	-61231.82	-176309.78	-270122.19	-331353.91	-352619.44	-331353.88	-270122.19	-176309.64	-61231.65	61231.73	176309.72	270122.19	457321.97	486671.84	457321.94	372812.25	243335.83	84509.73	-84509.82	-243336.02	-372812.31	-457321.97	-486671.84	-457321.94	-372812.28	-243335.81	-84509.58	84509.69	243335.92	372812.28
	8614.17	9016.7	7159.25	7865.24	6719.27	6593.24	5824.5	2876.67	3432.25	1821.83	2701.24	2366.8	3609.48	3590.25	3598.86	3509.55	3302.97	4183.58	3958.01	3802.57	3105.6	4158.63	2085.05	2767.98	3042.12	1699.14	1800.05	1589.85	1529.24	1490.28	1820.68	1300.04	1726.83	1554.69	1411.87	1473.8	1411.02	1979.25	2465.95	1942.85	1800.23	1790.23	1900.08	840.94	682.09	557.27	509.78	859.11	817.29	876.88	877.03	784.23	1096.81	913.47	1161.97	1484	1315.38	873.84	894.01	1456.39	1045.31
	19.1275																																																												
	0	90	150	210	270	330	30	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50
	29.81	26.99	-7.03	0.46	39.88	77.43	62.88	36.46	25.49	22.12	10.17	20.91	14.4	23.23	41.08	33.22	43.52	51.94	54.65	62.31	65.44	62.78	70.04	24.85	34.27	18.37	12.41	13	26.81	-37.74	-16.75	24.05	36.69	9.86	50.76	53.33	54.33	53.19	66.5	29.84	110.33	40.16	46.52	-22.46	-11.6	-1.09	-6.1	24.4	-28.9	25.93	69.3	23.62	35.02	44.89	29.67	43.1	14.15	11.63	88.67	-5.08	-35.54
	6.2	83.13	33.31	-13.66	-60	-16.3	30.67	43.31	42.89	26.82	35.67	17.69	12.06	1.78	-0.6	-19.27	-23.22	-23.72	-11.89	-16.68	-9.76	1.08	14.1	7.05	20.51	41.22	13.47	29.97	14.23	56.69	25.22	9.87	3.61	-42.65	-2.74	-10.27	-5.2	-2.08	-6.19	13.21	31.38	31.95	60.65	-19.33	43.32	-8.99	13.04	-6.24	7.02	-6.33	8.61	-36.44	-44.88	13.69	14.68	-24.72	-4.05	-5.35	13.42	2	-24.69
	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81	1.81
	1403.73	1321.77	1302.57	1332.53	1404.04	1357.93	1391.15	1122.46	1055.55	1097.43	1133	1088.92	1127.05	1180.33	1147.01	1159.41	1190.42	1163.03	1142.03	1155.71	1107.78	1114.8	1122.87	1055.32	1104.62	824.02	767.23	847.87	835.75	812.53	835.41	869.65	868.37	920.26	886.44	941.84	921.04	881.88	835.39	829.41	822.82	757.77	789.76	481.75	529.39	651.93	669.07	660.72	701.86	711.38	721.86	652.9	718.79	785.51	735.52	665.86	665.4	684.1	628.82	570.76	558.46
	1099.44	974.05	941.66	998.05	982.19	1104.02	1094.82	1093.27	1028.42	1028.45	996.27	1022.7	987.72	1069.91	1015.69	1012.78	998.88	1019.53	1127.71	1121.99	1103.59	1039.67	984.52	981.78	1133.18	1021.07	1036.02	1146.16	1087.6	1082.85	1030.22	1027.33	1150.68	1096.16	1093.1	1096.18	1032.19	1049.4	999.04	1057.73	1057.69	1001.67	1002.37	1004.62	996.36	1147.02	1204.15	1113.92	1076.71	1081.86	1029.12	929.63	1017.74	1140.15	1132.72	1128.43	1132.33	1012.58	1003	995.89	1123.94
	0	0	-96126.45	-96126.42	0	96126.45	96126.44	77950.05	-0.01	-77950.07	-146498.23	-197376.55	-224448.3	-224448.3	-197376.52	-146498.2	-77950.06	0	77950.07	146498.2	197376.56	224448.31	224448.3	197376.53	146498.22	120602.91	-0.02	-120602.95	-226659.42	-305377.44	-347262.34	-347262.34	-305377.38	-226659.38	-120602.92	0	120602.93	226659.38	305377.44	347262.38	347262.34	305377.41	226659.39	166451.52	-0.02	-166451.56	-312826.66	-421470.22	-479278.19	-479278.19	-421470.16	-312826.59	-166451.53	0.01	166451.55	312826.59	421470.25	479278.22	479278.19	421470.19	312826.62
