16-17/3/14																																																													
"time,"	position	"azimuths,"	zonal	"wind,"	meridional	"wind,"	reduced	"chisqr,"	"intensities,"	"temperatures,"	zonal	"distances,"	meridional	"distances,"	sig2noise																																														
	0	110997.24	55498.6	-55498.64	-110997.24	-55498.59	55498.62	214166.09	227910.78	214166.08	174589.78	113955.35	39576.32	-39576.36	-113955.43	-174589.81	-214166.09	-227910.78	-214166.08	-174589.8	-113955.34	-39576.25	39576.3	113955.39	174589.8	331353.91	352619.44	331353.88	270122.16	176309.66	61231.77	-61231.82	-176309.78	-270122.19	-331353.91	-352619.44	-331353.88	-270122.19	-176309.64	-61231.65	61231.73	176309.72	270122.19	457321.97	486671.84	457321.94	372812.25	243335.83	84509.73	-84509.82	-243336.02	-372812.31	-457321.97	-486671.84	-457321.94	-372812.28	-243335.81	-84509.58	84509.69	243335.92	372812.28
	11012.9	11355.31	10601.37	8912.09	6475.86	8388.38	10799.74	4480.19	5406.7	4075.22	3108.5	5410.64	3514.21	2737.04	3254.77	4434.44	3594.52	2997.36	4263.95	4710.54	7706.04	5629.74	7041.58	7528.15	8101.37	3911.56	3556.23	2447.99	2001.73	3123.81	2513.59	1559.47	3099.66	2436.51	1641.46	1708.61	2445.14	3411.21	3266.94	3406.46	2878.08	3598.82	4397.81	1427.22	955.63	1249.34	934.43	879.85	1346.3	1292.94	1055.44	1015.95	818.1	1344.62	1130.93	2334	2805.35	1795.34	2829.24	1064.3	1866.38
	26.2219																																																												
	0	90	150	210	270	330	30	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50
	-29.43	-48.33	43.3	68.22	-24.31	-101.66	-155.15	-84.9	-67.86	-50.15	-40.11	7.78	-10.95	22.34	12.55	5.43	-4.05	-18.54	-30.69	-56.76	-76.54	-99.55	-86.7	-113.3	-85.6	-63.26	-49.65	-23.69	-11.56	35.37	10.48	63.42	29.5	45.47	44.11	26.65	6.04	-17.46	-37.81	-61.56	-74.36	-72.4	-56.27	-79.42	-83.95	-65.39	-43.47	-14.19	20.59	36.52	-24.73	25.49	6.92	21.35	9.55	-37.47	-41.97	-79.43	-74.36	-48.05	-91.32
	-18.84	-155.67	-86.56	23.48	101.64	7.78	-102.26	-88.04	-83.38	-81.7	-62	-70.33	-37.73	-17.84	-1.08	11.33	21.1	36.16	6.5	14.55	0.22	-17.95	-38.2	-67.14	-63.83	-70.15	-82.77	-91.41	-59.13	-59.3	-22.42	-1.23	3.24	26.79	50.06	50.77	46.08	35.65	16.78	-3.28	-27.29	-45.38	-42.9	-17.36	-2.89	-63.32	-51.78	-38.97	-19.34	7.43	-9	26.35	-21.37	25.08	33.26	62.16	23.76	7.18	-14.56	-8.37	-41.69
	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34	5.34
	1548.73	1550.72	1409.2	1495.74	1680.96	1732.57	1724.82	1400.09	1368.5	1271.48	1244.5	1185.47	1183.34	1196.72	1263.93	1337.61	1489.77	1557.19	1552.71	1577.45	1574.08	1525.95	1552.44	1529.92	1487.52	1107.85	1073.39	1000.05	997.37	972.82	968.71	1009.26	1024.57	1046.22	1129.43	1257.34	1292.83	1276.19	1266.38	1280.22	1292.25	1258.59	1218.81	684.89	673.26	744.81	748.4	814.42	756.51	812.82	827.76	879.71	923.7	986.47	991.32	930.11	979.71	970.37	976.24	835.54	708
	976.22	979.93	1019.86	997.03	977.66	946.9	967.72	983.47	959.01	962.84	978.76	1008.71	1010.14	1050.24	1045.94	1004.7	1007.45	975.21	980.03	993.69	994.29	993.62	970.22	973.73	931.89	964.73	1007.59	1085.67	1089.01	1018.68	1022.5	1019.16	1093.9	1082.4	995.66	1042.01	1018.07	987.32	989.08	942.61	1054.85	1039.35	1030.68	1020.04	1069.42	1064.27	857.88	1153.64	1140.38	1245.84	1218.4	1212.19	1139.89	1103.79	1038.64	960.28	1197.18	1112.4	1155.5	1060.9	1054.84
	0	0	-96126.45	-96126.42	0	96126.45	96126.44	77950.05	-0.01	-77950.07	-146498.23	-197376.55	-224448.3	-224448.3	-197376.52	-146498.2	-77950.06	0	77950.07	146498.2	197376.56	224448.31	224448.3	197376.53	146498.22	120602.91	-0.02	-120602.95	-226659.42	-305377.44	-347262.34	-347262.34	-305377.38	-226659.38	-120602.92	0	120602.93	226659.38	305377.44	347262.38	347262.34	305377.41	226659.39	166451.52	-0.02	-166451.56	-312826.66	-421470.22	-479278.19	-479278.19	-421470.16	-312826.59	-166451.53	0.01	166451.55	312826.59	421470.25	479278.22	479278.19	421470.19	312826.62
	0	110997.24	55498.6	-55498.64	-110997.24	-55498.59	55498.62	214166.09	227910.78	214166.08	174589.78	113955.35	39576.32	-39576.36	-113955.43	-174589.81	-214166.09	-227910.78	-214166.08	-174589.8	-113955.34	-39576.25	39576.3	113955.39	174589.8	331353.91	352619.44	331353.88	270122.16	176309.66	61231.77	-61231.82	-176309.78	-270122.19	-331353.91	-352619.44	-331353.88	-270122.19	-176309.64	-61231.65	61231.73	176309.72	270122.19	457321.97	486671.84	457321.94	372812.25	243335.83	84509.73	-84509.82	-243336.02	-372812.31	-457321.97	-486671.84	-457321.94	-372812.28	-243335.81	-84509.58	84509.69	243335.92	372812.28
	10196.58	12831.88	10272.55	7810.15	10355.75	11906.54	14982.07	6567.38	4724.36	6246.04	4912.59	4719.06	4330.02	4509.59	3742.93	3796.81	3953.76	4594.17	4531.63	4903.17	6902.59	7567.91	5196.21	6437.61	7464.36	3934.5	3502.94	3081	2748.31	2424.95	2817.85	1758.62	2154.25	1786.44	2441.69	2768.92	2382.42	4184.59	3306.88	7491.96	4252.53	4508.85	3227.51	2193.43	1701.43	818.73	904.95	1213.16	1268.36	1464.96	1337.96	1704.91	1395.52	1796.06	1606.52	1444.74	2138.88	2689.38	1795.11	1659.03	1290.88
	26.3439																																																												
	0	90	150	210	270	330	30	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50
	-48.78	-71.36	-2.14	2.21	-62.88	-133.11	-135.42	-89.59	-69.1	-54.93	-54.47	-26.2	-25	-11.11	-22.66	-15.77	-34.96	-51.69	-53.51	-72.43	-66.01	-131.52	-111.59	-113.65	-82.9	-73.62	-60.67	-48.18	-34.82	-28.2	-10.93	2.15	-10.56	-17.52	-21.18	-33.73	-40.16	-61.32	-80.68	-79.91	-97.54	-85.82	-66.95	-51.4	-51.23	-37.5	-13.94	8.67	13.9	-6.88	-13.71	-14.21	-0.74	-14.05	-24.01	-58.17	-71.37	-61.43	-52.86	-71.2	-67.44
	-20.42	-131.55	-74.67	5.29	60.93	5.82	-74.14	-89.56	-63.65	-69.3	-45.95	-51.88	-34.51	-17.85	-5.37	21.91	24.95	39.51	-18.9	-1.03	-18.89	-13.46	-36.76	-57.86	-49.82	-62.59	-50.77	-56.87	-50.5	-36.26	-25.69	-7.92	3.57	11.43	26.41	13.09	5.12	17.47	9.52	-10.03	-27.35	-39.81	-34.68	-25.33	-37.72	-56.46	-59.21	-46.34	-22.43	-5.99	-0.93	1.33	37.84	14.69	22.47	43.73	21.23	-4.32	-16.65	-34.02	-44.44
	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37	3.37
	1680.82	1725.69	1563.46	1609.11	1791.74	1900.08	1926.49	1540.69	1491.8	1426.89	1393.48	1333.22	1307.33	1356.65	1388.29	1473.08	1618.78	1648.65	1700.12	1726.02	1706.15	1727.11	1746.19	1693.95	1573.03	1127.41	1101.82	1057.03	1084.57	1041.51	1067.75	1084.6	1059.39	1142.92	1235.76	1239.29	1317.91	1389.1	1374.62	1355.34	1349.64	1322.63	1253.25	726.69	766.39	813.42	854.43	882.27	913.71	888.97	897.8	958.34	1004.21	1057.14	1059.1	988.56	1053.02	1101.6	1013.75	880.09	780.02
	919.89	963.54	961.74	952.16	947.14	973.94	1009.42	983.52	932.02	923.97	928.79	930.5	976.1	975.11	984.97	950.68	949.53	871.51	971.66	972.06	976.49	928.36	1035.83	1012.36	1000.63	953.79	1044.9	1029.69	1056.97	1071.16	1132.25	1080.06	1033.97	1041.23	1007.83	958.8	1040.06	1068.65	993.91	952.94	980.37	978.72	982.17	1022.34	938.27	1005.16	1006.26	1074.47	1406.7	1288.59	1096.93	991.24	973.44	1059.11	975.96	970.94	1004.61	1029.01	1069.48	1060.14	1063.34
	0	0	-96126.45	-96126.42	0	96126.45	96126.44	77950.05	-0.01	-77950.07	-146498.23	-197376.55	-224448.3	-224448.3	-197376.52	-146498.2	-77950.06	0	77950.07	146498.2	197376.56	224448.31	224448.3	197376.53	146498.22	120602.91	-0.02	-120602.95	-226659.42	-305377.44	-347262.34	-347262.34	-305377.38	-226659.38	-120602.92	0	120602.93	226659.38	305377.44	347262.38	347262.34	305377.41	226659.39	166451.52	-0.02	-166451.56	-312826.66	-421470.22	-479278.19	-479278.19	-421470.16	-312826.59	-166451.53	0.01	166451.55	312826.59	421470.25	479278.22	479278.19	421470.19	312826.62
	0	110997.24	55498.6	-55498.64	-110997.24	-55498.59	55498.62	214166.09	227910.78	214166.08	174589.78	113955.35	39576.32	-39576.36	-113955.43	-174589.81	-214166.09	-227910.78	-214166.08	-174589.8	-113955.34	-39576.25	39576.3	113955.39	174589.8	331353.91	352619.44	331353.88	270122.16	176309.66	61231.77	-61231.82	-176309.78	-270122.19	-331353.91	-352619.44	-331353.88	-270122.19	-176309.64	-61231.65	61231.73	176309.72	270122.19	457321.97	486671.84	457321.94	372812.25	243335.83	84509.73	-84509.82	-243336.02	-372812.31	-457321.97	-486671.84	-457321.94	-372812.28	-243335.81	-84509.58	84509.69	243335.92	372812.28
	9659.13	10221.58	11548.39	9013.27	9139.27	10944.47	12879.62	9168.17	6529.57	6564.58	7499.53	5235.41	5691.95	4223.31	6165.06	6172.92	3622.27	5069.83	7538.14	9385.73	10048.18	10500.68	8863.3	6564.1	10613.44	5609.49	3142.34	3378.59	3592.54	3771.04	2348.53	3096.4	2969	2689.22	2888.78	3100.83	3665.52	4187.73	5007.04	5588.38	5193.58	5306.77	3153.38	2694.55	1541.72	1741.97	1208.49	1623.35	1624.4	1260.43	1396.34	1771.46	899.5	2142.1	1478.21	2997.37	2579.67	2701.04	2097.99	2310.35	2722.41
	26.4658																																																												
	0	90	150	210	270	330	30	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50
	-46.25	-79.37	-28.1	-34.1	-75.08	-131.57	-115.13	-71.41	-63.06	-52.24	-52.86	-40.24	-58.7	-38.74	-26.12	-32.85	-37.2	-54.24	-49.67	-63.23	-81.45	-67.42	-74.01	-108.04	-84.27	-51.94	-51.06	-43.37	-25.58	-13.98	-30.64	-21.52	-13.29	-22.81	-32.07	-37.41	-44.4	-53.13	-64.43	-65.55	-89.49	-86.15	-49.35	-19.11	-34.97	-24.35	-8.22	14.76	-15.14	23.49	-7.88	-6.9	-6.32	-16.13	-26.39	-44.94	-17.77	-38.79	-85.79	-60.19	-85.31
	-19.61	-107.22	-64.47	-6.14	35.28	1.58	-56.76	-60.26	-53.29	-65.62	-45.73	-43.92	-28.74	-21.62	-4.09	7.9	30.53	24.18	-30.31	-9.35	-7.16	-23.32	-31.19	-59.26	-61.3	-37.97	-40.49	-54.41	-60.09	-46.77	-24.68	-12.68	4.68	12.37	11.67	-1.49	13.97	9.91	2.41	-12.51	-29.85	-49.57	-31.5	12.81	-37.62	-56.85	-54.6	-45.42	-14.28	3.93	10.32	22.38	41.14	37.08	39.24	40.46	1.06	-1.81	-22.49	-36.7	-87.96
	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95	1.95
	1792.68	1818.28	1650.39	1665.56	1866.19	1996.45	1945.31	1539.23	1515.13	1473.92	1491.65	1375.39	1364.78	1364.92	1474.86	1522.64	1677.54	1658.6	1711.63	1728.55	1710.88	1723.52	1730.2	1727.61	1647.56	1145.63	1076.51	1057.02	1083.97	1107.54	1137.36	1072.52	1108.81	1133.73	1223.58	1204.95	1311.8	1343.28	1308.99	1356.52	1411.22	1335.74	1214.56	740.56	778.77	871	896.98	892.03	881.95	871.85	936.27	955.71	985.15	1042	1084.64	960.06	968.78	1039.26	1064.12	940.81	806.07
	932.48	1009.33	1005.86	964.62	964.93	983.99	986.98	950.65	952.01	956.54	987.98	912.82	972.98	971.65	1006.35	1007.73	896.34	918.39	973.17	991.82	1019.15	1017.92	1016.9	983.94	1054.49	997.94	959.25	958.43	1009.19	1008.98	1053.53	1065.35	1038.4	941.75	993.15	995.82	973.43	956.29	956.37	1006.39	1006.42	989.44	919.04	1020.74	1137.34	1135.31	1117.84	965.56	1016.64	1070.08	1041.07	1036.97	999.72	1002.19	1156.21	970.71	1028.95	1024.6	1103.04	1091.25	1108.92
	0	0	-96126.45	-96126.42	0	96126.45	96126.44	77950.05	-0.01	-77950.07	-146498.23	-197376.55	-224448.3	-224448.3	-197376.52	-146498.2	-77950.06	0	77950.07	146498.2	197376.56	224448.31	224448.3	197376.53	146498.22	120602.91	-0.02	-120602.95	-226659.42	-305377.44	-347262.34	-347262.34	-305377.38	-226659.38	-120602.92	0	120602.93	226659.38	305377.44	347262.38	347262.34	305377.41	226659.39	166451.52	-0.02	-166451.56	-312826.66	-421470.22	-479278.19	-479278.19	-421470.16	-312826.59	-166451.53	0.01	166451.55	312826.59	421470.25	479278.22	479278.19	421470.19	312826.62
	0	110997.24	55498.6	-55498.64	-110997.24	-55498.59	55498.62	214166.09	227910.78	214166.08	174589.78	113955.35	39576.32	-39576.36	-113955.43	-174589.81	-214166.09	-227910.78	-214166.08	-174589.8	-113955.34	-39576.25	39576.3	113955.39	174589.8	331353.91	352619.44	331353.88	270122.16	176309.66	61231.77	-61231.82	-176309.78	-270122.19	-331353.91	-352619.44	-331353.88	-270122.19	-176309.64	-61231.65	61231.73	176309.72	270122.19	457321.97	486671.84	457321.94	372812.25	243335.83	84509.73	-84509.82	-243336.02	-372812.31	-457321.97	-486671.84	-457321.94	-372812.28	-243335.81	-84509.58	84509.69	243335.92	372812.28
	15823.11	17447.83	7087.64	8727.54	10374.49	13914.43	13201.02	6016.2	8487.99	7315.96	5697.11	7208.67	5971.92	7168.02	4080.72	4822.5	3871.13	6599.41	5993.48	7571.17	7389.59	8573.04	7355.5	7551.71	9162.61	5373.56	4350.14	3141.71	2526.4	3125.28	2532.24	3552.19	3281.75	3058.86	2119.28	2692.61	2660.54	4205.81	3809.18	4551.72	4320.47	3182.29	5159.67	3264.04	2947.42	1260.8	1587.81	2079.33	1893.65	1508.15	2452.47	1862.17	1559.71	1502.57	2755.7	1991.91	4130.83	2011.74	2763.82	3214.84	2441.48
	26.5878																																																												
	0	90	150	210	270	330	30	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50
	-29.43	-52.05	28.79	9.02	-46.33	-102.57	-132	-57.65	-41.44	-25.85	-9.31	6.52	-2.68	17.68	12.96	7.11	-10.92	-29.68	-44.41	-68.34	-58.48	-90.84	-72.44	-97.29	-75.03	-50.06	-34.19	-10.81	20.91	11.74	6.89	27.07	22.59	26.23	5.8	-16	-30.48	-57.41	-70.42	-91.07	-84.47	-75.66	-52.36	-44.1	-33.6	-8.38	17.44	3.12	70.53	23.39	8.57	37.24	8.13	-8.5	-24.6	-67.55	-64.69	-64.04	-84.04	-73.07	-74.76
	-11.46	-82.69	-68.74	3.27	58.69	2.13	-69.88	-49.95	-61.29	-46.3	-43.45	-36.41	-20.83	-10.36	2.31	17.87	22.54	22.51	9.5	16.82	-9.08	-9.64	-21.17	-44.36	-48.48	-33.43	-29.63	-51.02	-55.09	-21.45	-10.34	-2.8	6.33	28.7	33.59	1.31	10.46	22.64	10.22	0.19	-14.61	-24.12	-16.15	-7.86	-27.95	-44.14	-39.29	-7.26	-15.68	-1.77	-5.21	31.6	16.31	26.37	10.69	40.46	10.13	-1.26	-9.87	-16.09	-34.51
	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49	2.49
	1771.01	1790.69	1659.46	1699.24	1820.47	1877.47	1880.81	1577.24	1550.29	1485.93	1494.49	1449.67	1457.06	1463.35	1510.56	1549.32	1639.36	1656.94	1642.03	1646.19	1644.45	1668.33	1639.27	1612.21	1566.47	1107.47	1091.83	1071.31	1094.61	1098.49	1140.6	1126.03	1114.86	1082.78	1199.73	1216.12	1271.97	1274.46	1303.59	1358.18	1355.21	1296.99	1203.98	766.68	803.4	849.51	899.02	903.68	908.83	902.03	929.85	942.04	967.05	1044.81	1028.35	970.88	963.11	1069.74	993.85	936.75	796.9
	958.81	984.35	1006.89	995.48	999.74	909.21	949.74	1019.68	1001.88	966.76	1027.4	997.59	1044.11	1096.32	1095.06	1096.5	1067.79	1063.62	1041.91	1027.65	957.94	959.48	961.21	987.78	995.64	998.23	900.27	901.1	904.81	995.01	1033.14	1005.7	990.35	982.06	919.86	956.55	956.48	1005.97	957.09	1051.67	1029.38	981.25	982.44	1153.95	1149.31	1023.34	1070.28	1075.93	997.48	1003.04	1050.12	1018.11	1045.84	991.49	1046.88	1043.66	1047.4	1064.24	987.75	1219.71	1143.08
	0	0	-96126.45	-96126.42	0	96126.45	96126.44	77950.05	-0.01	-77950.07	-146498.23	-197376.55	-224448.3	-224448.3	-197376.52	-146498.2	-77950.06	0	77950.07	146498.2	197376.56	224448.31	224448.3	197376.53	146498.22	120602.91	-0.02	-120602.95	-226659.42	-305377.44	-347262.34	-347262.34	-305377.38	-226659.38	-120602.92	0	120602.93	226659.38	305377.44	347262.38	347262.34	305377.41	226659.39	166451.52	-0.02	-166451.56	-312826.66	-421470.22	-479278.19	-479278.19	-421470.16	-312826.59	-166451.53	0.01	166451.55	312826.59	421470.25	479278.22	479278.19	421470.19	312826.62
	0	110997.24	55498.6	-55498.64	-110997.24	-55498.59	55498.62	214166.09	227910.78	214166.08	174589.78	113955.35	39576.32	-39576.36	-113955.43	-174589.81	-214166.09	-227910.78	-214166.08	-174589.8	-113955.34	-39576.25	39576.3	113955.39	174589.8	331353.91	352619.44	331353.88	270122.16	176309.66	61231.77	-61231.82	-176309.78	-270122.19	-331353.91	-352619.44	-331353.88	-270122.19	-176309.64	-61231.65	61231.73	176309.72	270122.19	457321.97	486671.84	457321.94	372812.25	243335.83	84509.73	-84509.82	-243336.02	-372812.31	-457321.97	-486671.84	-457321.94	-372812.28	-243335.81	-84509.58	84509.69	243335.92	372812.28
	15560.7	10086.88	8479.56	11330.97	18681.89	13557.21	14954.65	5954.35	5934.71	8826.71	6876.5	5526.34	7058.92	6703.9	5648.38	6438.19	5638.75	7149.86	6489.55	6861	5946.35	4807.35	7526.76	7495.12	5461.94	4748.81	4664.83	2359.22	2205.46	4895.8	2840.09	2644.18	4047.56	3105.8	3257.59	2740.98	2205.13	4746.43	2960.77	4682.59	3614.12	4690.35	4218.2	1714.83	1753.82	1454.18	1466.82	1604.34	1853.19	1826.68	2056.81	2157.54	1370.93	2072.68	2035.47	1231.47	2049.93	1869.65	2805	1860.3	2164.93
	26.7097																																																												
	0	90	150	210	270	330	30	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50
	-43.66	-74.72	-6.03	-6.49	-61.86	-126.22	-134.43	-70.8	-67.79	-57.05	-40.09	-36.78	-43.54	-22.01	-23.74	-22.89	-28.09	-41.37	-46.34	-47.18	-51.17	-116.08	-99.04	-94.09	-74.45	-75.42	-63.98	-55.28	-45.43	-17.18	-10.96	-38.17	-11.44	-8.79	-8.48	-23.11	-34.49	-45.51	-49.37	-60.93	-84.34	-74.91	-76.09	-52.51	-52.84	-48.59	-32.67	-26.06	21.81	-27.87	-39.54	40	-4.68	3.57	3.35	-19.38	-30.97	-16.92	-71.04	-37.43	-51.69
	-25.09	-132.16	-85.49	-2.25	53.4	-0.77	-84.01	-67.74	-80.47	-84.6	-82.48	-60.89	-41.38	-25.4	-8.97	9.09	26.22	20.77	-1.04	-13.38	-21.12	-19.5	-46.46	-65.8	-64.76	-90.26	-92.43	-76.01	-65.48	-60.37	-33.59	-14.08	10.27	30.22	57.43	47.82	41.73	28.44	6.89	-10.71	-33.78	-51.46	-69.18	-65.58	-48.1	-68.81	-69.15	-46.75	-31.87	-6.57	-5.27	76.3	15.86	34.7	29.79	44.5	23.27	-5.63	-30.14	-38.67	-59.46
	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89	2.89
	1792.84	1752.21	1566.29	1657.68	1875.01	1963.94	2017.02	1576	1506.08	1429.2	1413.44	1346.89	1328.35	1403.94	1433.1	1512.15	1640.51	1672.66	1686.49	1739.96	1760.97	1774.22	1782.83	1732.04	1676	1239.35	1177.17	1151.09	1112.44	1124.91	1117.33	1175.25	1140.29	1218.31	1251.44	1295.32	1341.04	1329.19	1340.32	1398.34	1396.94	1371.91	1318.41	787.88	762.29	858.89	849.09	865.4	843.52	912.28	931.39	989.49	1018.81	1009.27	945.98	949.3	1004.31	1102.78	1102.7	941.21	785.52
	960.68	961.42	972.95	920.96	992.72	990.95	992.8	994.61	919.04	920.72	965.68	965.57	967.91	1026.79	962.91	979.28	966.56	966.32	966.75	1042.73	1027.5	985.58	1007.39	1007.66	1017.94	992.95	1037.42	1033.27	1032.15	1041.24	1146.51	1141.24	1011.81	1075.13	1016.72	1055.58	1064.02	1020.36	1013.55	1047.77	927.86	1049.71	961.1	1053.66	995.55	1079.66	918.35	1011.59	1056.09	1127.67	1143.94	1074.82	1006.92	986.33	985.83	984.38	982.47	1003.34	1075.99	1069.83	971.6
	0	0	-96126.45	-96126.42	0	96126.45	96126.44	77950.05	-0.01	-77950.07	-146498.23	-197376.55	-224448.3	-224448.3	-197376.52	-146498.2	-77950.06	0	77950.07	146498.2	197376.56	224448.31	224448.3	197376.53	146498.22	120602.91	-0.02	-120602.95	-226659.42	-305377.44	-347262.34	-347262.34	-305377.38	-226659.38	-120602.92	0	120602.93	226659.38	305377.44	347262.38	347262.34	305377.41	226659.39	166451.52	-0.02	-166451.56	-312826.66	-421470.22	-479278.19	-479278.19	-421470.16	-312826.59	-166451.53	0.01	166451.55	312826.59	421470.25	479278.22	479278.19	421470.19	312826.62
	0	110997.24	55498.6	-55498.64	-110997.24	-55498.59	55498.62	214166.09	227910.78	214166.08	174589.78	113955.35	39576.32	-39576.36	-113955.43	-174589.81	-214166.09	-227910.78	-214166.08	-174589.8	-113955.34	-39576.25	39576.3	113955.39	174589.8	331353.91	352619.44	331353.88	270122.16	176309.66	61231.77	-61231.82	-176309.78	-270122.19	-331353.91	-352619.44	-331353.88	-270122.19	-176309.64	-61231.65	61231.73	176309.72	270122.19	457321.97	486671.84	457321.94	372812.25	243335.83	84509.73	-84509.82	-243336.02	-372812.31	-457321.97	-486671.84	-457321.94	-372812.28	-243335.81	-84509.58	84509.69	243335.92	372812.28
	14800.68	18898.25	10194.96	9656.8	8833.33	10825.04	18009.15	9268	6489.08	7553.23	5115.46	5852.34	5513.67	5272.91	3039.7	3896.82	3708.76	6762.6	5784.03	6356.15	9079.6	7961.69	6467.79	6608.9	9800.75	5135.19	5022.16	3378.94	6851.66	2455.14	2298.5	2661.13	4612.44	2799.64	3180.77	3369.5	3330.85	3823.07	4211.36	3389.7	2772.37	3885.42	4672.27	2173.88	1776.33	1829.74	1311.91	1468.06	1438.74	3184.96	1623.25	1728.62	2312.98	1805.54	1910.72	1718.68	1797.94	2021.87	2021.61	2093.52	1906.32
	26.8319																																																												
	0	90	150	210	270	330	30	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50	70	90	110	130	150	170	190	210	230	250	270	290	310	330	350	10	30	50
	-69.32	-91.64	-19.57	-48.62	-99.42	-155.21	-158.73	-88.84	-73.97	-61.22	-50.95	-17.13	-59.59	-60.22	-63.34	-64.41	-71.97	-89.93	-94.87	-109.48	-111.53	-121.72	-126.53	-123.15	-86.27	-65.97	-55.38	-38.84	-15.61	-17.24	-6.9	-21.89	-47.54	-45.42	-57.09	-80.08	-93.54	-106.74	-112.25	-124.83	-128.35	-116.97	-84.5	-60.81	-32.51	-12.7	-11.67	15.86	-13.08	-24.5	-14.88	-11.44	-45.52	-66.61	-83.53	-87.88	-52.96	-91.52	-118.9	-84.74	-94.69
	-33.18	-101.62	-91.21	-29.23	14.51	-24.11	-86.09	-65.87	-38.46	-62.68	-59.19	-69.54	-44.13	-42.75	-39.78	-29.53	-12.88	-13.11	-46.04	-32.2	-38.05	-40.05	-48.54	-60.52	-41.97	-19.77	-40.44	-40.21	-48.49	-30.82	-24.88	-15.96	-18.49	-3.42	14.9	8.39	-7.21	-6.07	-11.57	-14.73	-25.6	-37.23	-28.93	-67.84	-8.18	-50.17	-29.33	-43.04	-28.93	-31.72	-24.54	1.05	-11.66	27.03	-17.45	-29.84	-52.45	-29.79	-35.77	-35.43	-69.09
